"","participantID","dot","dobMonth","dobDay","dobYear","raceEthnicity","raceEthnicityDescription","gender","genderDescription","ses","CRA1","CRA2","CRA3","CRA4","CRA5","CRA6","CRA7","CRA8","HCRA1","HCRA2","HCRA3","HCRA4","HCRA5","HCRA6","DS1","DS2","DS3","DS4","DS5","PSS1","PSS2","PSS3","PSS4","MSES","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","BFI16","BFI17","BFI18","BFI19","BFI20","BFI21","BFI22","BFI23","BFI24","BFI25","BFI26","BFI27","BFI28","BFI29","BFI30","BFI31","BFI32","BFI33","BFI34","BFI35","BFI36","BFI37","BFI38","BFI39","BFI40","BFI41","BFI42","BFI43","BFI44","meanCRA","meanHCRA","sumDS","meanPSS","meanMQ","sumExtraversion","sumNeuroticism","raceEthnicity2","dob","dot2","age"
"1",1,"2023-04-18",12,7,2000,"Hispanic, Latino/Latina/Latinx, or Spanish origin",NA,"Cisgender Female",NA,"$20,001- $30,000",5,5,3,5,5,5,4,5,5,6,4,6,5,5,1,2,1,1,1,3,3,2,4,5,5,1,3,4,1,4,4,3,3,4,5,4,5,3,3,2,2,5,3,4,2,4,5,4,4,2,5,5,2,4,3,4,5,4,3,2,5,3,2,3,3,4,4,3,4,1,5,4,2,2,2,4,4,4,3,4,3,3,4,4.625,5.16666666666667,6,3,3.46666666666667,17,24,"Other",2000-12-07,2023-04-18,22.3616438356164
"2",2,"2023-04-18",1,3,2003,"Black or African American","East African","Do not wish to disclose",NA,"$100,001- $200,000",7,7,4,7,7,7,7,7,7,7,4,7,7,7,1,4,1,1,1,3,3,1,4,7,3,1,2,3,3,5,4,4,3,4,5,5,4,4,3,5,2,4,2,3,2,1,3,2,4,5,3,4,3,4,5,5,1,4,4,4,5,1,1,5,4,5,2,2,5,1,3,5,2,3,5,3,3,3,5,3,4,1,3,6.625,6.5,8,2.75,3.53333333333333,31,19,"Other",2003-01-03,2023-04-18,20.2876712328767
"3",3,"2023-04-18",6,17,2001,"Black or African American","Black","Cisgender Female",NA,"$20,001- $30,000",2,2,4,3,1,4,4,2,6,2,5,6,5,6,3,1,3,1,1,3,4,4,5,4,6,3,6,4,2,5,5,5,2,3,2,3,6,4,2,5,5,4,5,3,2,5,4,3,5,4,5,4,4,4,5,1,2,5,5,3,5,1,5,3,1,5,4,5,5,2,5,4,2,3,5,5,4,5,5,1,5,1,4,2.75,5,9,4,3.86666666666667,27,34,"Other",2001-06-17,2023-04-18,21.8356164383562
"4",4,"2023-04-18",5,31,2004,"Asian",NA,"Cisgender Female",NA,"Above $200,000",4,3,3,6,5,5,3,5,6,4,5,6,6,3,3,2,4,2,2,3,2,3,4,5,4,3,2,4,5,5,5,5,5,3,5,2,4,2,1,3,2,5,3,4,2,4,2,3,4,4,2,5,4,5,5,5,2,4,4,1,5,2,3,4,4,1,4,5,4,1,5,4,3,3,2,3,2,4,3,2,4,2,4,4.25,5,13,3,3.66666666666667,22,29,"Other",2004-05-31,2023-04-18,18.8821917808219
"5",5,"2023-04-18",7,9,2000,"Black or African American",NA,"Cisgender Female",NA,"$100,001- $200,000",6,3,6,2,2,4,6,2,2,2,2,2,3,3,3,1,1,2,2,3,2,3,3,6,2,1,4,3,4,6,3,3,4,2,2,2,5,3,1,3,2,3,3,2,3,4,4,5,2,2,4,4,4,2,3,2,4,5,5,3,2,2,4,3,2,4,2,2,4,3,4,4,2,4,4,2,3,5,3,4,4,2,2,3.875,2.33333333333333,9,2.75,3,23,30,"Other",2000-07-09,2023-04-18,22.7753424657534
"6",6,"2023-04-19",11,17,2002,"Black or African American",NA,"Cisgender Female",NA,"$20,001- $30,000",7,6,4,5,5,5,6,5,6,6,6,5,5,6,3,4,3,3,3,4,4,4,4,5,6,4,5,5,5,5,5,5,5,5,5,5,5,4,NA,5,3,4,3,3,5,4,3,4,5,3,3,3,3,3,NA,3,3,4,3,4,1,5,NA,NA,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,5.375,5.66666666666667,16,4,NA,NA,NA,"Other",2002-11-17,2023-04-19,20.4191780821918
"7",7,"2023-04-18",5,15,2003,"Black or African American",NA,"Cisgender Female",NA,"$100,001- $200,000",7,7,6,7,7,7,7,7,6,6,6,6,6,6,1,2,1,1,2,1,1,2,2,8,2,1,1,1,3,1,3,3,5,2,5,6,5,3,5,5,1,4,1,5,4,3,3,3,5,4,5,4,1,4,4,4,3,2,4,4,5,2,2,5,4,5,4,2,5,2,5,4,3,2,5,4,2,3,5,5,5,3,5,6.875,6,7,1.5,3.06666666666667,32,17,"Other",2003-05-15,2023-04-18,19.9260273972603
"8",8,"2023-04-18",1,11,2002,"Asian",NA,"Cisgender Female",NA,"$40,001 - $50,000",7,2,5,6,7,2,6,7,7,7,7,7,7,7,2,1,2,2,3,3,2,3,3,2,6,6,6,6,6,5,5,2,6,6,6,2,6,6,1,2,1,3,3,1,2,3,2,3,4,3,5,3,3,1,2,5,4,4,4,1,3,2,3,1,2,2,5,3,2,1,4,5,1,1,2,4,1,5,4,5,4,2,2,5.25,7,10,2.75,5,15,25,"Other",2002-01-11,2023-04-18,21.2657534246575
"9",9,"2023-04-18",11,17,2000,"Black or African American",NA,"Cisgender Female",NA,"$10,001 - $20,000",6,6,3,6,3,5,4,4,3,3,5,5,5,5,2,1,1,1,1,2,1,2,2,6,2,2,2,6,2,1,3,4,3,2,2,5,4,4,3,4,3,4,3,3,2,4,2,2,5,2,4,3,2,3,3,2,4,2,4,2,4,2,2,2,5,3,3,2,4,1,4,3,2,2,2,3,4,4,3,3,4,3,2,4.625,4.33333333333333,6,1.75,3,21,19,"Other",2000-11-17,2023-04-18,22.4164383561644
"10",10,"2023-04-18",8,12,2001,"Asian",NA,"Cisgender Female",NA,"$100,001- $200,000",2,2,1,4,2,3,6,1,4,4,2,3,4,1,3,4,4,2,1,3,2,3,3,4,4,5,4,5,2,1,3,3,2,2,6,1,5,2,3,5,1,4,2,1,5,4,4,2,5,4,5,5,4,5,4,5,2,5,5,3,4,1,2,1,2,4,3,2,5,1,5,4,2,2,4,4,5,5,5,5,5,1,5,2.625,3,14,2.75,3.2,28,24,"Other",2001-08-12,2023-04-18,21.6821917808219
"11",11,"2023-04-18",1,25,2001,"Hispanic, Latino/Latina/Latinx, or Spanish origin",NA,"Cisgender Female",NA,"Above $200,000",5,7,7,7,3,5,4,3,5,7,7,5,5,6,2,4,3,1,2,5,2,1,3,9,6,1,5,5,4,6,4,4,6,4,4,6,5,4,1,3,2,5,4,3,2,4,3,5,5,1,5,5,4,3,2,4,5,5,2,3,5,4,3,4,4,5,4,2,4,2,5,5,3,2,2,5,4,5,3,2,5,1,1,5.125,5.83333333333333,12,2.75,4.33333333333333,19,31,"Other",2001-01-25,2023-04-18,22.227397260274
"12",12,"2023-04-19",3,14,2000,"Asian",NA,"Cisgender Female",NA,"$90,001- $100,000",6,5,3,3,5,2,2,5,2,5,3,1,5,5,1,3,1,1,2,2,3,2,2,7,3,2,2,5,3,4,3,3,4,2,4,2,3,5,2,4,2,4,1,3,3,3,2,3,4,3,5,4,2,3,4,4,4,5,3,3,4,1,2,2,3,4,4,2,4,2,4,5,3,2,3,3,4,2,2,2,4,2,4,3.875,3.5,8,2.25,3.13333333333333,25,20,"Other",2000-03-14,2023-04-19,23.0983606557377
"13",13,"2023-04-19",10,8,2001,"White or European American",NA,"Cisgender Female",NA,"$100,001- $200,000",3,5,5,5,4,5,5,5,6,6,6,6,6,6,3,4,3,2,4,3,3,3,4,8,4,4,4,5,5,6,5,5,5,5,5,5,5,5,3,2,3,3,4,4,2,4,2,3,4,2,5,4,4,4,2,3,2,4,4,2,3,4,4,3,2,3,3,4,4,2,4,2,3,4,2,3,3,4,4,4,4,2,2,4.625,6,16,3.25,4.73333333333333,16,30,"White",2001-10-08,2023-04-19,21.5287671232877
"14",14,"2023-04-19",11,11,2001,"White or European American",NA,"Cisgender Female",NA,"$10,001 - $20,000",5,5,5,5,6,5,6,6,5,5,5,5,5,5,1,3,1,1,1,2,2,2,2,8,5,4,4,5,5,6,5,5,5,5,4,2,4,5,5,1,4,5,2,2,1,4,2,4,4,2,5,4,4,4,4,4,4,5,2,1,5,4,4,2,1,4,4,2,2,1,4,5,4,2,2,4,5,5,4,2,2,2,2,5.375,5,7,2,4.6,13,30,"White",2001-11-11,2023-04-19,21.4356164383562
"15",15,"2023-04-19",2,25,2001,"White or European American",NA,"Cisgender Female",NA,"$90,001- $100,000",2,2,4,3,6,3,5,5,5,3,3,5,5,3,3,3,1,3,4,4,2,3,5,8,5,5,6,4,5,5,5,3,3,5,5,4,5,4,4,4,4,4,4,4,4,4,4,3,5,4,5,4,4,4,5,5,4,4,4,4,5,4,4,3,3,4,3,3,4,4,5,4,2,4,4,4,2,4,4,4,4,2,4,3.75,4,14,3.5,4.53333333333333,32,28,"White",2001-02-25,2023-04-19,22.1452054794521
"16",16,"2023-04-19",2,27,2001,"Do not wish to disclose",NA,"Do not wish to disclose",NA,"Above $200,000",5,5,3,3,5,6,5,4,5,5,4,5,5,5,3,2,2,2,3,3,3,3,3,8,3,5,4,5,3,5,5,5,3,4,4,4,4,3,1,1,2,4,4,3,1,4,2,2,4,2,5,5,4,4,2,2,5,5,3,2,2,2,3,3,2,2,4,2,3,2,4,4,2,2,1,2,4,5,4,4,2,2,3,4.5,4.83333333333333,12,3,3.86666666666667,13,27,"Other",2001-02-27,2023-04-19,22.1397260273973
"17",17,"2023-04-19",11,5,2001,"Asian",NA,"Cisgender Male",NA,"$70,001- $80,000",3,3,3,3,4,4,3,3,3,3,2,3,2,2,2,2,3,1,1,3,2,3,2,6,3,2,2,2,4,4,4,4,4,4,3,2,2,3,2,2,2,4,3,2,2,3,2,2,4,3,4,4,4,4,2,4,4,4,2,2,4,4,3,2,2,4,4,2,3,2,3,4,2,4,3,2,4,4,3,2,4,2,3,3.25,2.5,9,2.5,3,18,24,"Other",2001-11-05,2023-04-19,21.4520547945205
"18",18,"2023-04-19",1,22,2002,"White or European American",NA,"Cisgender Female",NA,"$70,001- $80,000",5,5,6,5,5,5,6,5,4,4,5,4,4,4,1,3,2,1,2,3,2,3,4,6,2,1,4,5,3,5,4,3,2,3,3,4,4,3,4,3,4,4,2,3,2,4,4,3,5,3,5,5,3,5,3,3,4,4,3,2,3,3,4,3,2,4,4,4,4,1,5,5,3,2,3,5,4,4,5,4,4,3,5,5.25,4.16666666666667,9,3,3.33333333333333,19,27,"White",2002-01-22,2023-04-19,21.2383561643836
"19",19,"2023-04-19",7,26,2002,"Asian",NA,"Cisgender Female",NA,"Above $200,000",6,6,5,6,6,5,5,6,5,5,6,6,6,6,1,1,1,1,2,3,2,3,3,8,2,2,3,2,2,3,2,2,2,2,2,1,3,3,1,3,4,4,2,3,2,4,4,3,4,3,4,4,3,4,4,4,5,3,4,2,4,4,2,3,4,4,4,4,3,2,4,4,2,1,4,4,4,3,4,4,5,3,2,5.625,5.66666666666667,6,2.75,2.13333333333333,24,22,"Other",2002-07-26,2023-04-19,20.7315068493151
"20",20,"2023-04-19",8,5,2002,"Asian",NA,"Cisgender Female",NA,"$60,001- $70,000",6,5,4,5,5,3,6,5,6,6,7,5,7,5,1,2,1,1,3,4,2,3,3,6,2,1,4,5,1,4,2,2,4,3,3,1,1,2,1,3,1,4,2,3,3,5,3,2,4,4,4,5,3,4,5,3,4,3,5,4,4,3,2,4,5,2,4,3,5,3,4,4,1,4,4,2,4,2,4,5,3,2,3,4.875,6,8,3,2.4,31,18,"Other",2002-08-05,2023-04-19,20.7041095890411
"21",21,"2023-04-19",7,21,2002,"Asian",NA,"Cisgender Female",NA,"$90,001- $100,000",6,6,6,6,6,6,6,6,6,6,3,6,6,6,3,2,3,1,2,3,2,3,4,7,2,2,4,4,2,4,4,4,4,4,4,4,5,4,2,2,2,4,4,2,2,4,4,4,4,3,5,4,4,5,3,4,2,5,4,2,5,2,2,2,4,4,4,4,2,2,4,4,2,1,3,4,4,4,4,2,4,4,2,6,5.5,11,3,3.53333333333333,21,29,"Other",2002-07-21,2023-04-19,20.7452054794521
"22",22,"2023-04-20",12,2,2002,"White or European American",NA,"Cisgender Female",NA,"Above $200,000",5,5,6,6,6,5,7,5,5,6,6,5,6,6,1,2,1,1,3,3,2,2,2,8,2,2,4,5,2,4,4,4,3,3,4,2,5,5,5,5,1,5,2,4,3,4,2,3,5,2,4,5,5,4,2,2,2,5,4,4,4,4,2,2,4,2,4,4,4,2,4,2,2,2,4,2,4,2,4,4,4,2,4,5.625,5.66666666666667,8,2.25,3.6,26,25,"White",2002-12-02,2023-04-20,20.3808219178082
"23",23,"2023-04-20",10,20,2003,"White or European American",NA,"Cisgender Female",NA,"$100,001- $200,000",2,2,3,2,3,5,5,3,5,2,3,5,1,3,3,2,2,1,3,4,2,3,5,7,4,5,4,5,3,1,4,2,2,4,4,1,6,2,1,3,2,5,4,3,1,4,4,4,5,3,5,5,5,4,2,5,5,5,4,2,3,5,3,3,2,2,5,3,5,1,5,5,3,5,3,5,5,5,4,1,5,3,5,3.125,3.16666666666667,11,3.5,3.2,17,32,"White",2003-10-20,2023-04-20,19.4986301369863
"24",24,"2023-04-20",11,4,2003,"White or European American",NA,"Cisgender Male",NA,"$40,001 - $50,000",2,5,2,1,5,2,2,2,2,1,2,2,2,2,1,1,1,1,1,3,3,4,4,7,1,2,4,5,2,5,5,4,4,6,4,1,6,4,1,4,5,4,3,2,2,3,4,4,4,3,4,5,4,3,2,5,5,5,4,4,3,4,4,1,1,2,4,4,2,1,3,3,4,2,2,2,5,4,3,3,3,2,2,2.625,1.83333333333333,5,3.5,3.6,19,32,"White",2003-11-04,2023-04-20,19.4575342465753
"25",25,"2023-04-20",5,27,2002,"Asian",NA,"Cisgender Male",NA,"$70,001- $80,000",5,6,5,5,4,5,5,6,2,5,6,3,5,5,1,3,2,1,1,3,2,1,3,7,3,3,3,4,2,3,2,3,3,3,2,1,4,2,1,3,3,4,1,4,1,3,2,4,5,2,4,5,5,4,3,2,2,5,5,1,4,3,3,3,4,1,5,3,5,1,3,3,5,3,3,2,5,4,4,5,4,2,5,5.125,4.33333333333333,8,2.25,2.6,18,30,"Other",2002-05-27,2023-04-20,20.8986301369863
"26",26,"2023-04-20",5,10,2003,"White or European American",NA,"Cisgender Female",NA,NA,6,5,5,5,5,5,6,5,6,6,6,6,6,6,2,1,2,2,2,3,3,3,3,9,3,2,5,4,3,5,4,3,3,3,3,3,4,4,1,3,3,4,2,4,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,4,2,4,4,4,2,4,4,2,3,4,4,4,4,4,4,4,3,3,5.25,6,9,3,3.33333333333333,27,25,"White",2003-05-10,2023-04-20,19.9452054794521
"27",27,"2023-04-24",12,5,2002,"White or European American",NA,"Cisgender Female",NA,"Above $200,000",5,5,5,5,5,5,5,5,6,7,6,6,6,6,1,1,1,1,1,3,2,1,3,8,3,3,5,5,4,2,4,4,4,5,5,6,4,5,6,4,2,4,2,3,4,4,4,2,3,3,5,5,4,4,3,3,5,4,2,3,4,4,1,2,4,3,4,4,4,2,4,4,2,2,4,3,4,2,2,2,4,3,1,5,6.16666666666667,5,2.25,4.33333333333333,27,21,"White",2002-12-05,2023-04-24,20.3835616438356
"28",28,"2023-04-24",8,24,2003,"White or European American",NA,"Cisgender Female",NA,"$50,001- $60,000",5,3,5,5,6,6,6,5,3,3,5,5,6,5,3,3,3,2,2,3,3,4,4,5,4,1,5,4,2,4,5,5,3,4,4,2,4,5,4,2,2,4,3,4,1,4,2,4,4,2,5,5,5,4,2,4,5,4,4,2,5,2,4,4,2,2,3,4,5,1,4,4,4,4,2,2,2,4,4,5,4,2,4,5.125,4.5,13,3.5,3.73333333333333,14,32,"White",2003-08-24,2023-04-24,19.6657534246575
"29",29,"2023-04-24",8,6,2003,"White or European American",NA,"Cisgender Male",NA,"$10,001 - $20,000",3,5,5,6,5,6,6,6,5,6,5,6,6,6,1,1,3,1,1,2,1,3,2,6,2,2,5,2,4,2,6,6,6,5,5,4,5,5,2,4,2,4,1,3,2,3,2,2,4,3,4,4,4,3,2,5,5,4,4,2,5,4,1,3,4,3,4,1,5,1,5,4,1,3,3,4,4,5,5,4,4,2,2,5.25,5.66666666666667,7,2,4.06666666666667,21,19,"White",2003-08-06,2023-04-24,19.7150684931507
"30",30,"2023-04-24",5,16,2002,"Hispanic, Latino/Latina/Latinx, or Spanish origin,White or European American",NA,"Cisgender Female",NA,"$100,001- $200,000",5,3,5,4,5,2,3,4,2,6,3,5,4,5,1,2,1,1,1,4,3,3,4,6,4,5,4,3,3,6,3,4,5,4,3,1,5,4,3,3,2,4,1,3,3,2,2,4,4,4,4,4,3,3,4,2,2,4,4,3,5,2,4,3,3,4,2,4,4,2,4,3,3,2,5,5,3,5,3,2,3,3,2,3.875,4.16666666666667,6,3.5,3.8,27,28,"Other",2002-05-16,2023-04-24,20.9397260273973
"31",31,"2023-04-24",9,14,2002,"White or European American",NA,"Cisgender Female",NA,"$100,001- $200,000",5,5,6,6,6,6,7,4,6,6,5,7,5,5,2,3,2,3,3,3,2,4,2,7,5,4,5,6,5,2,6,5,5,5,6,5,6,4,5,5,4,5,5,4,3,5,4,3,4,2,5,5,4,4,3,5,3,5,3,4,4,2,3,3,4,4,5,4,4,2,5,5,2,1,3,5,4,5,3,3,5,2,3,5.625,5.66666666666667,13,2.75,4.93333333333333,26,31,"White",2002-09-14,2023-04-24,20.6082191780822
"32",32,"2023-04-24",8,16,2002,"Asian",NA,"Cisgender Female",NA,"Above $200,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,2,2,3,2,2,3,7,4,4,4,2,4,3,4,4,4,4,4,5,4,4,4,4,2,4,2,4,3,3,3,2,4,4,4,4,2,3,4,4,2,4,4,4,4,3,2,4,4,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,11,2.5,3.86666666666667,NA,NA,"Other",2002-08-16,2023-04-24,20.6876712328767
"33",33,"2023-04-24",6,4,2003,"White or European American",NA,"Cisgender Female",NA,"$80,001- $90,000",2,2,2,2,5,4,5,5,5,5,2,5,3,5,2,1,1,3,3,5,3,3,5,7,4,2,4,5,3,3,3,3,4,4,5,1,5,4,3,1,4,3,3,3,2,4,2,4,5,2,4,3,5,4,2,4,3,5,5,1,4,2,4,3,1,3,3,4,5,1,4,2,3,2,1,3,3,5,5,4,3,2,3,3.375,4.16666666666667,10,4,3.53333333333333,11,33,"White",2003-06-04,2023-04-24,19.8876712328767
"34",34,"2023-04-24",3,10,2003,"Asian",NA,"Cisgender Female",NA,"$40,001 - $50,000",5,5,2,5,5,5,5,5,5,5,5,5,5,5,2,4,2,1,3,3,2,3,4,4,4,3,4,4,4,4,3,2,4,4,4,2,4,5,5,4,2,4,3,4,3,4,2,4,4,2,2,4,4,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,2,2,3,2,1,5,3,2,2,3,2,4.625,5,12,3,3.73333333333333,26,30,"Other",2003-03-10,2023-04-24,20.1229508196721
"35",35,"2023-04-24",4,24,2002,"White or European American,Asian",NA,"Cisgender Female",NA,"Above $200,000",3,2,3,3,3,5,2,2,4,5,5,5,3,3,1,1,2,1,2,3,3,2,3,9,5,2,2,5,4,5,4,5,5,5,5,3,6,4,4,3,2,4,3,2,2,4,2,4,4,2,3,5,5,3,2,1,4,5,2,2,2,4,5,2,2,1,4,5,2,2,4,4,2,2,1,1,3,5,2,3,3,4,2,2.875,4.16666666666667,7,2.75,4.26666666666667,16,34,"Other",2002-04-24,2023-04-24,21
"36",36,"2023-04-24",3,1,1999,"Asian",NA,"Cisgender Female",NA,"$90,001- $100,000",5,6,5,4,5,6,5,4,3,5,6,5,4,3,2,1,1,1,1,3,2,3,3,5,4,2,2,5,5,1,4,5,5,6,4,4,5,5,2,2,2,4,2,3,1,5,4,4,4,2,4,5,4,2,2,4,4,5,2,3,4,4,5,3,2,2,4,4,4,2,4,4,3,2,3,4,3,4,4,2,4,3,2,5,4.33333333333333,6,2.75,3.93333333333333,17,31,"Other",1999-03-01,2023-04-24,24.1475409836066
"37",37,"2023-04-24",1,21,2001,"Asian",NA,"Cisgender Female",NA,"$80,001- $90,000",5,5,6,6,6,6,6,6,6,6,6,6,6,6,2,2,3,4,3,3,2,3,3,6,3,3,6,5,4,4,5,5,3,4,6,5,5,4,4,4,2,3,3,3,4,4,3,4,3,3,4,4,3,3,3,4,2,4,4,3,4,2,4,2,3,4,3,2,4,3,4,4,4,2,3,4,4,2,2,2,4,1,3,5.75,6,14,2.75,4.4,26,26,"Other",2001-01-21,2023-04-24,22.2547945205479
"38",38,"2023-04-24",9,3,2003,"White or European American",NA,"Cisgender Female",NA,"$70,001- $80,000",5,3,5,4,3,5,6,4,4,4,2,5,3,4,2,2,4,3,3,4,3,3,4,7,6,4,4,6,3,4,6,4,5,2,6,2,3,5,6,4,3,4,4,3,1,5,1,4,4,2,4,4,4,3,3,4,4,5,5,1,5,3,3,4,2,3,4,4,4,1,5,4,4,1,3,2,5,5,4,4,3,1,3,4.375,3.66666666666667,14,3.5,4.4,17,33,"White",2003-09-03,2023-04-24,19.6383561643836
"39",39,"2023-04-24",7,28,2002,"Asian",NA,"Cisgender Female",NA,"$70,001- $80,000",3,2,3,2,3,3,5,3,5,5,5,6,4,6,2,3,2,2,2,4,3,4,5,6,4,2,4,3,3,2,4,4,3,3,3,1,5,3,3,4,2,4,4,2,2,3,2,4,4,3,4,4,4,4,4,4,4,4,3,2,1,3,4,3,3,2,3,4,4,2,4,4,4,3,3,4,3,4,3,4,4,2,4,3,5.16666666666667,11,4,3.13333333333333,23,32,"Other",2002-07-28,2023-04-24,20.7397260273973
"40",40,"2023-04-25",10,10,2003,"Asian",NA,"Cisgender Female",NA,"$60,001- $70,000",4,1,5,4,6,4,6,4,5,6,4,5,4,4,2,3,1,2,3,2,2,3,4,5,4,1,2,5,4,3,5,4,3,3,5,6,6,4,2,3,4,4,1,3,2,5,3,4,4,1,5,4,2,4,2,5,5,4,5,2,5,2,3,4,2,4,3,3,3,2,5,4,3,3,2,5,5,4,2,3,4,4,3,4.25,4.66666666666667,11,2.75,3.8,16,24,"Other",2003-10-10,2023-04-25,19.5397260273973
"41",41,"2023-04-25",5,13,2000,"Asian",NA,"Cisgender Male",NA,"$100,001- $200,000",6,6,5,3,7,5,5,7,7,7,7,7,7,7,3,3,2,2,4,5,3,4,5,5,3,1,4,2,5,4,5,6,4,6,5,4,5,3,1,4,2,3,5,1,4,4,2,3,4,3,2,5,4,3,5,5,1,5,4,2,5,1,4,2,2,5,3,5,3,2,4,4,2,4,2,2,1,5,5,1,5,2,2,5.5,7,14,4.25,3.86666666666667,24,33,"Other",2000-05-13,2023-04-25,22.9506849315068
"42",42,"2023-04-25",9,29,2000,"Asian",NA,"Cisgender Female",NA,"$50,001- $60,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,3,1,4,4,4,3,3,5,4,2,4,5,2,5,4,4,3,4,2,2,6,3,4,2,4,4,4,1,1,5,3,5,4,2,4,4,4,3,2,1,4,5,3,2,4,2,4,2,3,3,3,4,3,2,5,3,4,2,3,3,4,5,4,2,4,2,1,5,5,12,3.5,3.6,17,35,"Other",2000-09-29,2023-04-25,22.5698630136986
"43",43,"2023-04-25",5,11,2001,"Asian",NA,"Cisgender Male",NA,"$10,000 or below",7,6,7,5,6,6,6,7,4,4,6,5,5,4,1,3,1,1,2,4,3,4,3,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,1,5,1,5,3,2,3,1,5,2,3,5,4,4,1,3,4,3,4,2,5,4,2,4,3,3,4,3,3,4,4,4,2,3,3,4,4,2,4,3,5,4,4,6.25,4.66666666666667,8,3.5,3.86666666666667,21,18,"Other",2001-05-11,2023-04-25,21.9561643835616
"44",44,"2023-04-25",9,22,2001,"Asian",NA,"Cisgender Male",NA,"$100,001- $200,000",6,7,6,6,6,6,5,6,5,5,6,5,5,6,2,3,1,1,2,2,1,1,2,7,5,2,2,6,5,4,5,3,4,4,2,3,2,3,6,4,2,4,2,3,1,4,3,2,5,5,3,4,4,4,2,2,1,5,4,2,4,3,2,3,4,2,5,4,4,1,4,4,2,5,2,3,4,5,5,2,5,2,2,6,5.33333333333333,9,1.5,3.73333333333333,21,26,"Other",2001-09-22,2023-04-25,21.5890410958904
"45",45,"2023-04-25",1,17,2003,"Asian",NA,"Cisgender Female",NA,"Above $200,000",7,7,6,6,7,6,6,7,6,6,7,7,7,6,1,2,1,1,1,3,2,2,2,9,5,3,2,3,1,4,3,3,3,3,3,2,5,3,4,4,2,4,2,4,2,5,2,2,5,4,4,5,4,4,4,5,2,4,4,3,4,3,1,3,2,4,5,2,4,3,5,3,2,3,3,4,4,3,4,4,5,2,4,6.5,6.5,6,2.25,3.13333333333333,25,20,"Other",2003-01-17,2023-04-25,20.2684931506849
