"","participantID","dot","dobMonth","dobDay","dobYear","raceEthnicity","raceEthnicityDescription","gender","genderDescription","ses","CRA1","CRA2","CRA3","CRA4","CRA5","CRA6","CRA7","CRA8","HCRA1","HCRA2","HCRA3","HCRA4","HCRA5","HCRA6","DS1","DS2","DS3","DS4","DS5","PSS1","PSS2","PSS3","PSS4","MSES","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","BFI1","BFI2","BFI3","BFI4","BFI5","BFI6","BFI7","BFI8","BFI9","BFI10","BFI11","BFI12","BFI13","BFI14","BFI15","BFI16","BFI17","BFI18","BFI19","BFI20","BFI21","BFI22","BFI23","BFI24","BFI25","BFI26","BFI27","BFI28","BFI29","BFI30","BFI31","BFI32","BFI33","BFI34","BFI35","BFI36","BFI37","BFI38","BFI39","BFI40","BFI41","BFI42","BFI43","BFI44","meanCRA","meanHCRA","sumDS","meanPSS","meanMQ","sumExtraversion","sumNeuroticism","raceEthnicity2","dob","dot2","age"
"46",46,"2023-04-25",7,4,2000,"Asian",NA,"Cisgender Male",NA,"Above $200,000",4,4,4,4,6,5,4,4,5,5,4,5,4,4,3,3,2,1,2,2,2,2,4,5,3,2,5,4,3,4,4,4,4,4,4,4,4,4,4,3,3,5,3,5,3,4,4,3,3,2,4,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,4,4,5,4,5,2,5,1,3,4.375,4.5,11,2.5,3.8,25,27,"Other",2000-07-04,2023-04-25,22.8082191780822
"47",47,"2023-04-25",5,30,2001,"Asian",NA,"Cisgender Female",NA,"$90,001- $100,000",5,6,5,5,6,5,6,5,5,3,2,5,6,5,2,1,3,1,2,4,2,3,3,8,4,1,4,5,3,4,4,4,4,3,2,1,6,3,1,2,4,4,2,2,2,4,3,4,2,2,3,3,2,4,4,4,4,5,5,2,5,2,4,2,2,2,2,2,5,1,5,3,3,4,2,5,4,5,5,1,5,2,4,5.375,4.33333333333333,9,3,3.26666666666667,17,27,"Other",2001-05-30,2023-04-25,21.9041095890411
"48",48,"2023-04-25",6,1,2002,"White or European American",NA,"Cisgender Female",NA,"$90,001- $100,000",3,5,2,3,5,3,3,5,4,4,3,5,4,4,2,3,1,1,2,3,3,4,3,7,3,4,5,5,3,2,3,4,3,3,2,2,5,3,3,4,2,4,4,3,2,3,2,4,4,2,4,4,4,3,3,2,2,4,4,4,2,2,4,3,2,2,3,4,2,2,4,3,4,2,3,2,4,4,3,2,4,2,3,3.625,4,9,3.25,3.33333333333333,22,32,"White",2002-06-01,2023-04-25,20.8986301369863
"49",49,"2023-04-25",6,5,2002,"Asian",NA,"Cisgender Female",NA,"$100,001- $200,000",5,5,3,5,6,2,3,5,5,5,5,5,5,3,2,2,2,1,2,3,2,3,2,6,4,4,3,2,2,4,3,2,2,2,4,2,4,4,4,5,2,3,2,3,5,3,3,3,5,4,4,4,2,2,4,4,2,4,5,5,4,2,2,3,4,4,3,5,4,5,4,4,3,4,5,3,4,2,4,2,4,1,2,4.25,4.66666666666667,9,2.5,3.06666666666667,37,23,"Other",2002-06-05,2023-04-25,20.8876712328767
"50",50,"2023-04-25",11,12,2001,"White or European American",NA,"Cisgender Female",NA,"Above $200,000",6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,1,2,2,2,1,9,3,1,1,3,2,3,2,2,2,3,3,2,3,3,2,5,3,4,1,4,4,4,4,2,4,4,5,5,2,3,4,4,4,4,4,4,4,4,2,4,4,4,4,3,4,4,4,4,2,2,4,4,4,3,4,4,4,3,4,6,6,7,1.75,2.33333333333333,33,19,"White",2001-11-12,2023-04-25,21.4493150684931
"51",51,"2023-04-25",10,8,1999,"Asian",NA,"Cisgender Male",NA,"$50,001- $60,000",5,6,6,6,6,5,6,5,5,5,6,6,5,5,1,2,1,1,2,3,2,3,2,8,4,1,1,2,1,4,3,3,2,3,1,2,1,2,1,2,2,3,1,3,2,4,3,2,3,3,5,4,2,3,4,5,3,2,2,3,4,3,2,3,3,4,3,2,3,2,5,3,2,3,4,5,3,4,4,2,4,3,2,5.625,5.33333333333333,7,2.5,2.06666666666667,23,17,"Other",1999-10-08,2023-04-25,23.5452054794521
"52",52,"2023-04-18",12,22,2000,"Black or African American","Black/African","Cisgender Female",NA,"$90,001- $100,000",2,2,2,2,5,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"Other",2000-12-22,2023-04-18,22.3205479452055
"53",53,"2023-04-25",7,4,2001,"Asian",NA,"Cisgender Male",NA,"$40,001 - $50,000",4,4,5,5,6,5,6,7,7,4,6,6,5,5,1,4,2,1,3,4,2,4,4,7,4,3,5,4,4,4,5,5,3,4,4,6,4,4,2,3,2,2,1,2,2,4,2,2,5,3,4,3,4,4,4,4,3,5,5,2,5,1,1,3,4,2,4,4,4,3,4,3,4,3,2,3,3,4,4,2,4,2,4,5.25,5.5,11,3.5,4.06666666666667,23,25,"Other",2001-07-04,2023-04-25,21.8082191780822
"54",54,"2023-04-25",1,28,1999,"Asian",NA,"Cisgender Male",NA,"$80,001- $90,000",6,6,5,5,5,4,6,6,6,6,6,5,6,4,1,1,2,1,1,4,1,2,2,6,1,2,2,2,2,2,2,4,2,4,4,4,4,4,2,2,2,2,2,4,2,4,2,2,4,4,4,5,4,4,4,4,4,4,4,3,4,2,2,4,2,4,4,3,4,3,4,4,2,2,4,4,4,2,4,2,4,2,2,5.375,5.5,6,2.25,2.73333333333333,24,21,"Other",1999-01-28,2023-04-25,24.2383561643836
"55",55,"2023-04-25",4,22,2002,"Asian",NA,"Cisgender Male",NA,"$70,001- $80,000",6,6,6,6,6,6,5,5,6,6,6,6,6,6,2,3,2,1,2,4,2,3,2,8,3,6,5,4,5,4,5,4,5,5,4,4,4,4,3,4,3,3,3,4,2,2,3,2,4,4,2,4,3,3,2,3,3,2,2,4,4,2,2,5,3,3,2,3,3,2,3,3,3,2,4,2,3,4,4,2,3,3,2,5.75,6,10,2.75,4.33333333333333,25,22,"Other",2002-04-22,2023-04-25,21.0081967213115
"56",56,"2023-04-25",4,14,1997,"Asian",NA,"Cisgender Male",NA,"$80,001- $90,000",6,5,4,5,5,5,6,5,3,3,6,5,7,6,2,2,1,1,1,2,1,2,3,3,4,1,1,2,2,3,3,4,3,3,5,1,4,3,2,1,2,5,1,5,1,4,4,1,5,3,3,5,2,5,3,4,5,3,5,1,5,5,2,4,4,2,5,4,2,1,5,5,1,2,1,2,5,5,5,2,2,2,2,5.125,5,7,2,2.73333333333333,15,19,"Other",1997-04-14,2023-04-25,26.0300546448087
"57",57,"2023-04-25",8,14,2004,"Asian,Another race or ethnicity not listed about (describe here)","Hmong","Cisgender Male",NA,"$50,001- $60,000",7,6,5,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,1,2,2,3,2,8,2,1,1,2,2,3,2,2,2,2,2,1,2,1,1,3,2,4,2,3,2,4,4,3,4,3,5,4,3,4,4,5,3,3,3,3,4,3,2,3,3,4,2,1,4,3,5,4,2,2,3,5,4,3,3,3,4,3,4,6,6,6,2.25,1.73333333333333,24,19,"Other",2004-08-14,2023-04-25,18.6958904109589
"58",58,"2023-04-25",7,28,2001,"Asian",NA,"Cisgender Male",NA,"$30,001 - $40,000",5,5,4,5,5,5,4,5,6,5,6,5,6,6,1,2,1,1,1,2,2,3,2,5,3,4,2,4,4,3,4,4,4,4,4,5,4,2,4,4,3,4,2,3,2,4,3,2,4,4,3,5,3,4,4,4,3,4,3,2,4,3,3,4,4,2,4,4,3,3,2,1,3,2,3,3,3,5,2,4,3,3,3,4.75,5.66666666666667,6,2.25,3.66666666666667,26,26,"Other",2001-07-28,2023-04-25,21.7424657534247
"59",59,"2023-04-25",11,17,2001,"American Indian or Alaska Native",NA,"Cisgender Male",NA,"$40,001 - $50,000",2,6,6,2,6,3,6,7,7,7,6,5,5,3,2,2,2,1,2,2,3,2,3,3,3,4,3,4,4,4,3,3,4,3,3,3,3,2,1,2,3,4,2,3,4,5,4,2,4,3,2,4,3,5,4,5,4,3,2,2,5,4,2,5,2,2,4,2,4,2,4,5,4,2,2,2,4,3,4,2,4,3,4,4.75,5.5,9,2.5,3.13333333333333,21,21,"Other",2001-11-17,2023-04-25,21.4356164383562
"60",60,"2023-04-25",9,17,2003,"Asian",NA,"Cisgender Male",NA,"$100,001- $200,000",5,6,5,4,5,5,5,2,4,2,6,5,2,5,3,2,4,2,1,3,2,4,3,5,1,1,1,3,4,3,3,2,4,6,4,3,4,3,3,4,1,4,4,3,4,4,1,4,4,4,3,4,5,4,3,5,2,5,3,4,4,2,3,2,3,1,3,4,2,3,3,4,2,3,3,1,2,4,4,2,4,2,2,4.625,4,12,3,3,28,31,"Other",2003-09-17,2023-04-25,19.6027397260274
"61",61,"2023-04-25",1,24,2000,"Black or African American,Asian",NA,"Cisgender Male",NA,"$60,001- $70,000",3,3,5,5,3,3,5,5,6,6,6,5,5,6,2,4,4,1,1,3,3,3,4,5,1,1,1,6,3,2,4,4,5,4,4,1,6,3,2,3,1,4,4,2,1,4,2,2,5,2,5,5,3,4,4,4,2,2,4,2,4,2,4,2,2,1,2,5,4,2,4,5,2,2,4,2,4,2,4,2,4,2,4,4,5.66666666666667,12,3.25,3.13333333333333,20,24,"Other",2000-01-24,2023-04-25,23.2493150684931
"62",62,"2023-04-25",12,16,2002,"Asian",NA,"Cisgender Male",NA,"$10,000 or below",5,5,3,5,4,4,5,5,7,6,6,6,5,5,1,2,2,1,1,2,2,3,3,6,5,3,2,4,4,4,2,3,3,3,2,1,4,2,1,2,3,4,1,3,1,3,2,2,5,3,5,4,2,4,3,4,3,3,4,1,4,3,2,3,2,3,4,2,4,1,4,4,3,2,2,4,4,4,4,2,3,3,4,4.5,5.83333333333333,7,2.5,2.86666666666667,15,19,"Other",2002-12-16,2023-04-25,20.3561643835616
"63",63,"2023-04-25",2,7,2000,"White or European American",NA,"Cisgender Female",NA,"$100,001- $200,000",5,5,3,5,5,6,7,5,5,5,5,5,5,5,2,3,2,1,4,4,1,3,4,6,4,5,6,5,2,5,5,5,5,5,6,4,6,5,5,4,2,3,3,2,1,5,3,3,5,3,4,4,2,5,5,5,2,5,3,2,5,4,4,3,2,4,2,4,5,2,5,3,1,2,4,3,2,5,5,5,5,1,4,5.125,5,12,3,4.86666666666667,23,27,"White",2000-02-07,2023-04-25,23.2109589041096
"64",64,"2023-04-25",2,17,2002,"Asian",NA,"Cisgender Male",NA,"$10,000 or below",7,2,7,2,6,5,6,6,6,6,6,6,5,6,2,4,1,1,2,4,2,3,4,4,5,4,4,2,5,3,3,3,5,4,5,4,5,4,4,5,2,4,2,3,3,5,2,1,4,4,2,5,3,4,5,4,2,4,3,4,5,4,2,4,5,5,4,4,4,4,4,4,2,3,4,3,4,2,5,3,4,2,4,5.125,5.83333333333333,10,3.25,4,34,20,"Other",2002-02-17,2023-04-25,21.1835616438356
"65",65,"2023-04-25",2,30,2004,"White or European American",NA,"Cisgender Male",NA,"$70,001- $80,000",6,2,7,3,2,4,7,3,1,1,6,2,3,2,1,3,2,1,2,3,1,2,1,6,5,2,2,6,3,6,4,3,2,4,2,1,5,3,4,3,2,5,1,5,2,4,3,2,5,4,4,5,4,5,3,5,5,4,4,2,5,3,3,5,5,3,5,3,3,2,5,5,2,4,3,3,5,4,NA,3,3,2,1,4.25,2.5,9,1.75,3.46666666666667,24,23,"White",NA,2023-04-25,NA
"66",66,"2023-04-25",2,13,2002,"White or European American",NA,"Cisgender Female",NA,"Above $200,000",6,6,6,5,5,5,6,6,6,6,6,6,5,5,3,1,2,1,3,3,2,2,2,9,4,1,5,1,2,6,4,4,4,4,4,1,5,4,1,2,4,4,4,4,1,5,2,2,4,2,5,5,1,4,4,5,4,4,4,2,4,2,2,4,1,5,4,2,4,2,4,4,2,2,2,5,4,4,4,2,4,4,4,5.625,5.66666666666667,10,2.25,3.33333333333333,16,21,"White",2002-02-13,2023-04-25,21.1945205479452
"67",67,"2023-04-25",4,4,2002,"White or European American",NA,"Cisgender Female",NA,"Above $200,000",5,5,6,5,6,6,7,6,6,6,5,5,5,6,2,3,2,1,2,3,2,2,2,8,4,3,3,5,5,4,3,3,4,4,3,2,5,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,2,4,4,5,4,4,4,3,2,4,4,4,4,4,4,4,4,2,2,4,3,4,3,4,4,4,2,4,5.75,5.5,10,2.25,3.66666666666667,32,27,"White",2002-04-04,2023-04-25,21.0573770491803
"68",68,"2023-04-25",2,29,2002,"White or European American",NA,"Cisgender Female",NA,"$100,001- $200,000",7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,2,1,4,4,1,1,4,7,4,1,3,4,2,2,4,5,3,4,3,4,4,4,1,3,1,4,2,3,2,4,4,2,5,3,5,4,3,4,2,3,5,4,5,1,2,4,2,4,5,4,4,2,5,1,5,4,1,3,2,4,3,5,4,5,5,1,5,7,7,9,2.5,3.2,19,21,"White",NA,2023-04-25,NA
"69",69,"2023-04-25",12,21,1999,"Asian",NA,"Cisgender Male",NA,"Above $200,000",1,2,2,3,3,7,6,3,6,5,3,5,2,5,2,2,1,1,3,3,2,3,2,8,1,2,4,3,1,6,3,4,3,4,1,2,6,2,1,5,2,4,2,3,5,4,2,4,5,5,4,4,4,4,5,2,1,5,5,5,4,3,5,2,4,5,4,4,5,5,4,2,4,4,5,3,4,4,3,5,4,1,5,3.375,4.33333333333333,9,2.5,2.86666666666667,39,32,"Other",1999-12-21,2023-04-25,23.3424657534247
"70",70,"2023-04-25",7,17,2002,"White or European American",NA,"Cisgender Female",NA,"$100,001- $200,000",6,4,6,5,6,5,6,6,6,4,4,5,5,5,3,3,2,1,1,3,4,2,4,9,2,2,3,4,3,1,3,3,3,1,4,2,5,2,1,4,2,4,2,3,3,2,2,4,5,3,4,3,4,4,3,5,4,4,3,3,3,5,3,2,3,2,3,4,2,2,4,3,4,1,4,3,4,4,4,4,3,3,1,5.5,4.83333333333333,10,3.25,2.6,25,29,"White",2002-07-17,2023-04-25,20.772602739726
"71",71,"2023-04-25",10,19,2001,"Asian",NA,"Cisgender Female",NA,"$20,001- $30,000",6,4,6,5,5,6,4,5,6,4,5,4,3,4,3,2,2,1,3,3,1,2,2,5,2,2,3,4,2,5,4,3,4,3,3,2,3,3,1,2,1,4,4,4,2,3,2,3,4,2,5,4,4,3,3,1,5,2,5,2,2,3,2,4,4,1,4,4,4,2,3,5,1,2,2,3,5,2,4,4,3,5,4,5.125,4.33333333333333,11,2,2.93333333333333,19,22,"Other",2001-10-19,2023-04-25,21.5150684931507
"72",72,"2023-04-25",9,1,2001,"American Indian or Alaska Native,Asian",NA,"Cisgender Female",NA,"$40,001 - $50,000",6,2,3,4,7,6,7,6,7,3,5,6,4,5,2,2,2,1,3,3,3,2,3,7,6,3,3,1,4,4,5,2,5,3,5,5,6,4,5,4,3,5,4,3,3,5,2,3,5,4,3,4,4,5,5,5,3,4,4,2,5,2,4,3,5,1,4,5,2,4,5,4,1,1,4,4,2,3,4,4,4,2,4,5.125,5,10,2.75,4.06666666666667,31,28,"Other",2001-09-01,2023-04-25,21.6465753424658
"73",73,"2023-04-26",4,24,2004,"White or European American",NA,"Transgender Male",NA,"$100,001- $200,000",7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,4,1,1,4,2,1,2,2,6,3,1,6,4,6,4,4,4,6,6,6,6,3,4,1,4,4,3,4,2,4,4,4,2,4,4,4,4,4,4,2,5,1,2,5,2,4,2,2,2,2,2,4,4,5,2,4,2,2,2,4,4,4,2,4,4,4,1,5,7,7,11,1.75,4.26666666666667,24,22,"White",2004-04-24,2023-04-26,19.0054644808743
"74",74,"2023-04-26",1,11,1989,"White or European American",NA,"Cisgender Male",NA,"$20,001- $30,000",4,5,5,4,4,4,4,4,5,5,5,4,5,5,2,3,1,1,2,3,3,4,4,6,4,2,3,2,3,2,3,2,2,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4.25,4.83333333333333,9,3.5,NA,24,24,"White",1989-01-11,2023-04-26,34.2876712328767
"75",75,"2023-04-26",8,15,2002,"White or European American",NA,"Cisgender Female",NA,NA,6,5,3,5,5,5,6,4,5,3,5,5,5,5,2,3,3,1,1,3,2,3,3,7,3,1,3,2,4,2,3,3,2,2,1,1,4,2,1,2,2,4,2,3,2,4,4,2,4,2,5,4,2,3,2,2,4,3,3,2,2,4,2,2,2,4,4,2,4,1,3,4,2,4,2,4,3,2,4,4,3,4,3,4.875,4.66666666666667,10,2.75,2.26666666666667,15,17,"White",2002-08-15,2023-04-26,20.6958904109589
"76",76,"2023-04-26",12,12,2001,"Hispanic, Latino/Latina/Latinx, or Spanish origin",NA,"Cisgender Male",NA,"$30,001 - $40,000",3,3,7,4,3,5,3,3,3,5,7,5,3,5,4,3,3,4,4,5,3,2,5,5,1,6,6,5,1,2,4,2,6,2,5,5,6,5,4,5,1,4,5,5,5,4,2,3,5,4,5,4,5,5,5,5,1,5,5,5,4,2,3,4,5,4,1,5,5,4,5,3,1,3,5,4,5,2,5,1,5,4,5,3.875,4.66666666666667,18,3.75,4,38,29,"Other",2001-12-12,2023-04-26,21.3698630136986
"77",77,"2023-04-26",11,31,2001,"White or European American",NA,"Cisgender Female",NA,"$10,000 or below",6,5,2,6,6,3,7,6,5,5,5,5,4,4,2,2,1,2,3,3,3,3,5,5,4,3,4,4,5,5,3,3,4,3,5,3,5,4,3,2,2,4,4,3,1,3,2,3,4,2,4,4,4,4,3,4,4,4,3,2,4,2,2,3,4,3,3,4,4,2,4,4,3,2,3,4,4,4,4,4,4,2,3,5.125,4.66666666666667,10,3.5,3.86666666666667,19,28,"White",NA,2023-04-26,NA
"78",78,"2023-04-26",9,6,2000,"White or European American",NA,"Cisgender Male",NA,"$100,001- $200,000",5,5,5,5,4,5,5,5,6,3,5,5,4,5,2,1,2,2,3,4,3,3,4,5,6,2,3,5,3,4,4,3,6,6,4,2,5,4,2,2,1,5,3,5,3,4,2,2,5,4,2,4,4,5,4,3,3,4,5,3,2,4,3,5,5,3,4,4,5,4,3,5,2,3,5,1,4,3,5,5,3,3,5,4.875,4.66666666666667,10,3.5,3.93333333333333,30,25,"White",2000-09-06,2023-04-26,22.6356164383562
"79",79,"2023-04-18",12,17,2001,"Do not wish to disclose",NA,"Cisgender Male",NA,"$100,001- $200,000",5,5,4,4,5,5,6,6,7,5,6,6,5,6,1,2,2,1,2,2,4,4,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5.83333333333333,8,3.25,NA,NA,NA,"Other",2001-12-17,2023-04-18,21.3342465753425
"80",80,"2023-04-26",4,9,2004,"Asian",NA,"Cisgender Female",NA,"$40,001 - $50,000",4,5,3,4,5,5,4,5,4,5,5,4,4,4,2,3,3,1,1,4,3,3,3,4,4,3,4,5,2,6,5,5,5,5,4,3,6,5,5,2,3,4,4,1,4,3,2,5,3,3,3,4,4,3,2,3,4,5,3,2,4,2,5,1,1,2,3,4,3,2,3,3,4,1,2,4,3,5,2,3,3,2,1,4.375,4.33333333333333,10,3.25,4.46666666666667,18,36,"Other",2004-04-09,2023-04-26,19.0464480874317
"81",81,"2023-04-20",1,27,2003,"White or European American",NA,"Cisgender Female",NA,"$50,001- $60,000",5,3,4,3,2,4,5,5,5,4,5,5,5,5,2,3,3,1,3,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.875,4.83333333333333,12,3,NA,NA,NA,"White",2003-01-27,2023-04-20,20.227397260274
"82",82,"2023-04-20",11,14,2003,"White or European American",NA,"Cisgender Female",NA,"$90,001- $100,000",4,3,6,5,6,5,6,5,6,6,6,6,6,6,2,2,1,1,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,8,2.25,NA,NA,NA,"White",2003-11-14,2023-04-20,19.4301369863014
"83",83,"2023-04-20",12,27,2003,"White or European American",NA,"Cisgender Female",NA,"Above $200,000",7,3,5,3,3,3,7,2,5,3,6,2,2,2,1,1,1,1,1,2,3,2,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.125,3.33333333333333,5,2.25,NA,NA,NA,"White",2003-12-27,2023-04-20,19.3123287671233
"84",84,"2023-04-27",11,13,2002,"Asian",NA,"Cisgender Male",NA,"$40,001 - $50,000",5,2,3,5,5,6,5,5,6,6,6,5,5,5,2,2,2,1,2,3,3,4,4,2,4,1,2,2,2,6,2,5,5,4,3,2,4,4,4,5,1,3,3,4,3,4,2,3,5,4,4,4,3,4,4,4,3,5,4,3,5,3,3,3,3,3,3,3,4,3,5,4,2,3,5,2,4,5,4,2,4,1,5,4.5,5.5,9,3.5,3.33333333333333,30,27,"Other",2002-11-13,2023-04-27,20.4520547945205
"85",85,"2023-04-27",6,6,2003,"Asian",NA,"Cisgender Female",NA,"$50,001- $60,000",5,5,6,5,5,6,5,5,5,3,5,6,5,6,2,4,2,2,3,3,4,4,3,4,3,4,5,5,3,4,4,4,5,4,3,4,5,4,2,4,4,4,4,3,2,4,2,4,4,2,5,4,4,3,2,2,4,5,5,2,4,2,4,2,2,4,4,4,4,2,4,4,4,2,3,4,4,4,4,2,4,2,2,5.25,5,13,3.5,3.93333333333333,19,33,"Other",2003-06-06,2023-04-27,19.8904109589041
"86",86,"2023-04-28",10,26,2001,"White or European American",NA,"Cisgender Female",NA,"$60,001- $70,000",6,6,5,6,3,6,5,3,6,6,2,5,6,6,2,4,2,1,2,3,2,2,3,7,5,2,5,6,5,4,4,4,2,3,4,2,3,4,4,2,4,2,3,4,2,4,2,4,4,3,5,4,4,4,4,4,2,4,4,2,4,2,2,4,4,2,2,3,4,2,4,4,2,4,2,4,4,4,4,4,5,2,4,5,5.16666666666667,11,2.5,3.8,21,26,"White",2001-10-26,2023-04-28,21.5041095890411
"87",87,"2023-04-25",3,15,1999,"Asian",NA,"Cisgender Female",NA,"$20,001- $30,000",3,3,3,3,2,5,5,5,5,3,3,3,3,3,3,2,2,2,3,4,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,2,4,1,2,4,4,2,4,4,4,4,3,2,3,3,4,3,4,2,4,3,NA,2,NA,3,2,4,3,4,2,2,2,3,2,2,2,4,2,4,3.625,3.33333333333333,12,3,3.6,25,NA,"Other",1999-03-15,2023-04-25,24.1120218579235
"88",88,"2023-04-30",5,27,2005,"Asian",NA,"Cisgender Female",NA,"Above $200,000",7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2,2,2,4,2,3,5,8,4,2,4,1,2,3,3,2,5,3,5,2,6,4,6,4,2,4,2,4,3,4,4,1,4,3,4,2,2,3,3,5,4,1,4,3,4,1,2,4,3,3,3,4,3,3,5,4,1,5,3,3,5,2,5,2,4,2,4,7,7,10,3.5,3.46666666666667,25,15,"Other",2005-05-27,2023-04-30,17.9260273972603
"89",89,"2023-04-30",9,23,2002,"White or European American",NA,"Cisgender Female",NA,"$10,001 - $20,000",2,3,3,3,5,6,3,5,5,6,3,5,5,5,1,3,2,3,4,3,2,4,3,7,2,4,5,6,2,5,6,5,4,4,5,3,5,5,5,4,2,4,2,3,3,4,3,4,4,3,5,5,4,2,4,5,1,4,3,4,4,3,5,2,2,4,1,5,3,3,5,2,4,2,3,4,2,4,2,2,5,1,2,3.75,4.83333333333333,13,3,4.4,26,32,"White",2002-09-23,2023-04-30,20.6
"90",90,"2023-04-30",7,3,2002,"White or European American",NA,"Cisgender Female",NA,"$100,001- $200,000",5,5,5,5,5,5,5,5,5,5,6,5,5,5,2,4,2,1,1,1,2,2,1,8,2,2,3,5,3,4,4,3,3,4,3,3,4,4,3,2,4,5,3,4,1,5,4,2,4,2,5,5,4,4,4,5,4,5,4,1,4,2,3,3,2,4,5,3,5,1,5,4,3,2,2,4,5,4,4,4,4,4,4,5,5.16666666666667,10,1.5,3.33333333333333,15,27,"White",2002-07-03,2023-04-30,20.8246575342466
"91",91,"2023-04-30",1,2,2002,"Asian",NA,"Cisgender Female",NA,"Above $200,000",5,2,7,6,5,5,5,6,4,2,7,6,6,5,2,1,1,1,2,3,1,1,3,9,4,4,4,5,1,6,5,4,5,4,5,3,5,3,2,1,1,5,3,3,3,4,2,5,4,3,3,5,5,4,4,1,4,5,5,1,5,2,5,4,4,2,3,5,4,1,4,5,4,5,1,2,4,5,4,2,1,3,3,5.125,5,7,2,4,18,37,"Other",2002-01-02,2023-04-30,21.3232876712329
"92",92,"2023-05-01",2,27,2003,"White or European American",NA,"Cisgender Male",NA,"$100,001- $200,000",6,3,5,3,5,5,5,3,5,5,5,5,4,5,1,1,1,1,2,3,2,3,4,8,5,2,4,5,2,5,3,4,4,3,5,2,6,3,2,2,2,3,2,3,2,4,3,2,4,3,4,4,3,2,3,5,2,5,4,1,3,3,1,3,2,2,3,4,2,1,4,3,2,2,2,4,2,4,3,4,3,2,2,4.375,4.83333333333333,6,3,3.66666666666667,16,23,"White",2003-02-27,2023-05-01,20.172602739726
"93",93,"2023-04-24",8,26,2002,"White or European American",NA,"Cisgender Female",NA,"Above $200,000",7,7,2,5,5,2,5,5,5,5,2,5,2,5,3,2,2,4,3,5,2,3,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,4,14,3.5,NA,NA,NA,"White",2002-08-26,2023-04-24,20.6602739726027
